latitude,longitude,acq_date,confidence,frp,type
48.46539,38.75431,08/10/2023,n,2.69,2
48.47369,34.62616,08/10/2023,n,0.76,2
48.47177,34.96498,08/10/2023,n,1.18,2
47.87386,33.41579,08/10/2023,n,1.1,3
46.76657,33.07987,08/10/2023,n,2.93,0
50.54573,26.26097,09/10/2023,n,1.36,2
48.74967,26.60228,09/10/2023,n,0.72,2
48.97441,24.70706,09/10/2023,n,1.07,2
46.76258,33.07595,09/10/2023,n,1.35,0
46.14183,33.51745,09/10/2023,n,5.89,0
49.40688,28.98372,09/10/2023,n,6.66,0
49.40327,28.97456,09/10/2023,n,6.66,0
49.40075,28.98939,09/10/2023,l,23.59,0
49.40037,28.9831,09/10/2023,n,14.72,0
49.40395,28.99234,09/10/2023,n,14.72,0
45.35307,28.4917,09/10/2023,n,2.52,0
46.15542,30.004,09/10/2023,n,5.69,0
46.15206,30.00492,09/10/2023,n,4.76,0
46.15274,30.01013,09/10/2023,n,4.76,0
45.99967,29.44642,09/10/2023,n,3.13,0
46.14325,33.50515,09/10/2023,n,3.91,0
46.1446,33.5186,09/10/2023,n,5.69,0
46.14013,33.51267,09/10/2023,n,3.02,0
45.56128,29.42342,09/10/2023,n,2.5,0
45.45007,29.30725,09/10/2023,n,29.94,0
45.35635,28.49073,09/10/2023,n,2.52,0
50.31779,28.30217,09/10/2023,n,3.28,0
49.06255,30.97719,09/10/2023,n,3.06,0
50.74011,30.33527,09/10/2023,n,2.82,0
51.11413,24.77904,09/10/2023,n,2.75,0
49.05898,30.97816,09/10/2023,n,3.06,0
48.47511,34.62716,09/10/2023,n,0.96,2
48.19403,37.62112,09/10/2023,n,0.36,0
50.54887,26.25297,09/10/2023,n,1.28,0
48.52844,34.65278,09/10/2023,n,1.57,3
51.54498,25.00433,09/10/2023,n,1.02,0
47.83508,38.47722,09/10/2023,n,1.89,2
48.05941,37.9555,09/10/2023,n,0.92,2
48.10053,37.92076,09/10/2023,n,1.49,2
47.86269,35.14262,09/10/2023,n,1.48,3
47.87916,35.18947,09/10/2023,n,0.72,2
47.878,35.15653,09/10/2023,n,0.67,2
48.06029,37.95194,10/10/2023,n,0.94,2
48.46211,38.77335,10/10/2023,n,3.04,2
48.46286,38.77629,10/10/2023,n,3.03,2
48.47242,34.96635,10/10/2023,n,1.08,2
47.83366,38.47514,10/10/2023,n,2.19,2
47.86857,33.42978,10/10/2023,n,1.09,2
50.54401,26.25611,10/10/2023,n,1.61,2
50.54353,26.25451,10/10/2023,n,2.68,2
47.86203,35.14021,10/10/2023,n,1.7,3
47.27573,29.83435,10/10/2023,n,2.58,0
47.94873,32.31223,10/10/2023,n,3.53,0
48.95864,35.27596,10/10/2023,n,2.75,0
45.55462,29.42573,10/10/2023,n,1.6,0
45.62541,29.38596,10/10/2023,n,11.06,0
45.34452,28.49478,10/10/2023,n,6.63,0
45.62879,29.38471,10/10/2023,n,11.06,0
46.06299,29.75853,10/10/2023,n,6.22,0
45.47467,29.53562,10/10/2023,n,5.36,0
47.10341,33.1922,10/10/2023,n,2.65,0
46.96373,31.03799,10/10/2023,n,5.16,0
47.50803,33.3021,10/10/2023,n,3.02,0
47.364,31.39411,10/10/2023,n,2.56,0
47.33313,30.70921,10/10/2023,n,2.44,0
52.14045,32.73542,10/10/2023,n,4.64,0
48.47874,30.14881,10/10/2023,n,20.11,0
48.4378,29.77876,10/10/2023,n,9.68,0
49.14268,33.33094,10/10/2023,n,5.67,0
49.14603,33.32991,10/10/2023,n,5.67,0
48.54452,28.75059,10/10/2023,n,2.33,0
49.26513,26.27776,10/10/2023,n,4.46,0
49.2686,26.27612,10/10/2023,n,4.46,0
49.36889,25.46843,10/10/2023,n,9.22,0
49.36821,25.46831,10/10/2023,n,8.08,0
50.60087,28.77168,10/10/2023,n,3.31,0
51.00505,28.58655,10/10/2023,n,7.27,0
51.42471,30.77855,10/10/2023,n,2.44,0
51.30068,28.37104,10/10/2023,n,1.99,0
51.30445,25.15441,10/10/2023,n,4.04,0
49.72739,26.65051,10/10/2023,n,4.48,0
49.72871,26.64741,10/10/2023,n,4.81,0
48.52678,34.64908,10/10/2023,n,1.49,3
48.22553,38.23445,10/10/2023,n,0.75,2
48.22422,37.86645,10/10/2023,n,1.15,0
50.30183,33.84196,10/10/2023,n,0.77,0
50.60875,33.50628,10/10/2023,n,0.48,0
50.61208,33.50778,10/10/2023,n,0.51,0
48.48264,38.77464,10/10/2023,n,1.02,3
48.46626,38.75941,10/10/2023,n,3.88,2
48.46927,38.75906,10/10/2023,n,1.6,2
48.06046,37.95071,10/10/2023,n,1.22,2
48.49759,38.80815,10/10/2023,n,0.55,2
50.15195,33.69856,10/10/2023,n,0.92,0
50.30246,33.84196,10/10/2023,n,0.57,0
48.46495,38.75832,10/10/2023,n,1.6,2
47.83525,38.4753,10/10/2023,n,2.33,2
